benchmark,duration_ns,uptime_ns,vm_start_unix_ms
matrix-multiply,1481508149,793476399,1654505358071
matrix-multiply,1835314044,2290716622,1654505358071
matrix-multiply,1707479444,4144731134,1654505358071
matrix-multiply,1512737578,5874047244,1654505358071
matrix-multiply,1421352688,7405085408,1654505358071
matrix-multiply,1443642737,8845117376,1654505358071
matrix-multiply,1533330148,10308355100,1654505358071
matrix-multiply,1363658129,11862215390,1654505358071
matrix-multiply,1155038275,13243679273,1654505358071
matrix-multiply,1126779439,14417401616,1654505358071
matrix-multiply,1128914479,15563598570,1654505358071
matrix-multiply,1130882039,16711228913,1654505358071
matrix-multiply,1137475681,17861400060,1654505358071
matrix-multiply,1135425712,19017950374,1654505358071
matrix-multiply,1145931139,20172316159,1654505358071
matrix-multiply,1133209278,21337855484,1654505358071
matrix-multiply,1135755314,22490956158,1654505358071
matrix-multiply,1143300428,23647562338,1654505358071
matrix-multiply,1141781546,24810378079,1654505358071
matrix-multiply,1143455312,25971341284,1654505358071
matrix-multiply,1172746803,27132409746,1654505358071
matrix-multiply,1143131367,28324184535,1654505358071
matrix-multiply,1147022781,29486765641,1654505358071
matrix-multiply,1147226072,30652963793,1654505358071
matrix-multiply,1143751412,31819089079,1654505358071
matrix-multiply,1143844578,32981504587,1654505358071
matrix-multiply,1155142731,34143922919,1654505358071
matrix-multiply,1141757767,35317975559,1654505358071
matrix-multiply,1144503565,36478848976,1654505358071
matrix-multiply,1153241331,37641981014,1654505358071
matrix-multiply,1150612715,38814259288,1654505358071
matrix-multiply,1144050981,39984431778,1654505358071
matrix-multiply,1184278455,41146850545,1654505358071
matrix-multiply,1168970288,42349997726,1654505358071
matrix-multiply,1160617502,43538203813,1654505358071
matrix-multiply,1166117798,44717496295,1654505358071
matrix-multiply,1143368150,45902675115,1654505358071
matrix-multiply,1156969776,47065473243,1654505358071
matrix-multiply,1143147659,48240642486,1654505358071
matrix-multiply,1145812193,49403258661,1654505358071
matrix-multiply,1146653213,50568306321,1654505358071
matrix-multiply,1144626266,51733834227,1654505358071
matrix-multiply,1148146169,52897776265,1654505358071
matrix-multiply,1151012521,54064541552,1654505358071
matrix-multiply,1147465203,55233656488,1654505358071
matrix-multiply,1142417321,56399792922,1654505358071
matrix-multiply,1146777286,57560764972,1654505358071
matrix-multiply,1151555209,58725660071,1654505358071
matrix-multiply,1141357359,59897758987,1654505358071
matrix-multiply,1148884606,61060211662,1654505358071
matrix-multiply,1141955943,62232099102,1654505358071
matrix-multiply,1144027918,63394271029,1654505358071
matrix-multiply,1141982007,64558477308,1654505358071
matrix-multiply,1143092196,65724237571,1654505358071
matrix-multiply,1143310913,66888164853,1654505358071
matrix-multiply,1145439585,68051368779,1654505358071
matrix-multiply,1157257873,69217543841,1654505358071
matrix-multiply,1150275945,70394132700,1654505358071
matrix-multiply,1147756707,71563194056,1654505358071
matrix-multiply,1146275128,72729596935,1654505358071
matrix-multiply,1160370081,73894300358,1654505358071
matrix-multiply,1153923699,75072654048,1654505358071
matrix-multiply,1145771711,76246165921,1654505358071
matrix-multiply,1143610071,77410531934,1654505358071
matrix-multiply,1147646658,78573106087,1654505358071
matrix-multiply,1143559690,79740163938,1654505358071
matrix-multiply,1143471869,80903182149,1654505358071
matrix-multiply,1155826907,82065621926,1654505358071
matrix-multiply,1145392311,83240655568,1654505358071
matrix-multiply,1144636869,84404506391,1654505358071
matrix-multiply,1144359010,85568393372,1654505358071
matrix-multiply,1145220194,86732164361,1654505358071
matrix-multiply,1144536874,87896247347,1654505358071
matrix-multiply,1152034036,89060392931,1654505358071
matrix-multiply,1151559433,90231485045,1654505358071
matrix-multiply,1152399231,91402326239,1654505358071
matrix-multiply,1153676059,92573337858,1654505358071
matrix-multiply,1147013873,93745943639,1654505358071
matrix-multiply,1148131199,94911232664,1654505358071
matrix-multiply,1156328809,96078275336,1654505358071
matrix-multiply,1143984423,97253356512,1654505358071
matrix-multiply,1145800523,98415730804,1654505358071
matrix-multiply,1149656590,99579904799,1654505358071
matrix-multiply,1143362674,100748398837,1654505358071
matrix-multiply,1148078387,101909871193,1654505358071
matrix-multiply,1167639001,103076896773,1654505358071
matrix-multiply,1145785406,104262213690,1654505358071
matrix-multiply,1144653470,105425903861,1654505358071
matrix-multiply,1145538339,106589573505,1654505358071
matrix-multiply,1144678922,107753333838,1654505358071
matrix-multiply,1151305446,108916376525,1654505358071
matrix-multiply,1157908811,110086131932,1654505358071
matrix-multiply,1146542823,111261995128,1654505358071
matrix-multiply,1145138878,112427103998,1654505358071
matrix-multiply,1144207045,113590596794,1654505358071
matrix-multiply,1143333261,114753464430,1654505358071
matrix-multiply,1141887749,115915467109,1654505358071
matrix-multiply,1151812285,117076357754,1654505358071
matrix-multiply,1142239763,118247182810,1654505358071
matrix-multiply,1147463546,119409270631,1654505358071
matrix-multiply,1148303865,120575980434,1654505358071
matrix-multiply,1145030554,121743269929,1654505358071
matrix-multiply,1145862745,122907250364,1654505358071
matrix-multiply,1155779137,124072309095,1654505358071
