count,timeit,perf_counter
100,0.20982540000000002,1.000000000139778e-06
500,0.24524150000000006,5.00000000069889e-07
1000,0.2857649,2.9999999995311555e-07
5000,0.2613213999999999,2.9999999995311555e-07
10000,0.2364978000000002,3.0000000039720476e-07
50000,0.27433890000000005,4.0000000023354687e-07
100000,0.2482669999999998,2.9999999995311555e-07
500000,0.21871969999999985,2.9999999995311555e-07
1000000,0.23813520000000032,2.9999999995311555e-07
5000000,0.22585279999999974,2.9999999995311555e-07
10000000,0.2353057999999999,2.0000000011677344e-07
50000000,0.2328234,2.9999999995311555e-07
100000000,0.22521309999999994,2.9999999995311555e-07
