no_of_integers,sorting_time
10000,45.0419708
20000,92.94530916666666
30000,136.0464442333333
40000,195.22167456666668
50000,212.89972350000002
60000,262.25542933333327
70000,335.9104519666668
80000,367.97823113333317
90000,401.5835450333331
100000,426.4298829333332
200000,858.7971987333331
300000,1297.642052466667
400000,1707.6507236500001
500000,2136.5095044500003
600000,2554.9159508
700000,2985.3764381500005
800000,3401.0848090499985
900000,3824.082881000002
